fichier	dossier	loc	utt	token	age	annee	FUT	CONJ	SUBJ	INF	prorel	conj	comme	PPRE	prep+inf	n+conj+det	n+adj	n+prep+n	cest+++que	ya+++qu	v+inf	dit+qu	plus+qu	proobj
../tcof/chi-trans-metaok/adeline1_gif.tei_corpo2_tto.cha 	 TRANS 	 CHI 	14	719	3;02.12	3	0	3	0	11	4	51	0	0	0	0	1	8	1	0	8	0	0	0	
../tcof/chi-trans-metaok/adeline1_sch.tei_corpo2_tto.cha 	 TRANS 	 CHI 	1	820	5;	5	0	0	0	15	3	57	1	0	4	1	0	1	2	0	12	0	1	0	
../tcof/chi-trans-metaok/Adelphe1_Per_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	0	672	3;07.05	3	1	0	0	8	7	69	3	0	2	2	1	2	1	0	9	0	0	0	
../tcof/chi-trans-metaok/Aela1_Ber_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	12	1138	4;04.24	4	0	2	0	6	5	102	11	0	1	0	3	1	6	0	8	2	1	0	
../tcof/chi-trans-metaok/Alban1_Tah_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	7	422	5;02.12	5	0	3	0	4	4	16	0	0	2	1	0	2	3	0	2	1	2	0	
../tcof/chi-trans-metaok/alexandre1_bod.tei_corpo2_tto.cha 	 TRANS 	 CHI 	19	465	3;04.23	3	0	0	0	0	0	19	0	0	3	0	0	0	1	0	5	0	0	0	
../tcof/chi-trans-metaok/alexandre1_dag.tei_corpo2_tto.cha 	 TRANS 	 CHI 	28	430	3;04.23	3	0	1	0	4	2	14	2	0	1	0	0	1	3	0	2	0	0	0	
../tcof/chi-trans-metaok/alexandre1_lin.tei_corpo2_tto.cha 	 TRANS 	 CHI 	3	237	3;04.23	3	0	1	0	0	0	19	1	0	4	0	2	1	1	0	0	0	1	0	
../tcof/chi-trans-metaok/alexis1_ras.tei_corpo2_tto.cha 	 TRANS 	 CHI 	8	422	4;07.05	4	0	3	0	1	3	30	4	0	1	0	0	1	2	0	6	0	0	0	
../tcof/chi-trans-metaok/alice1_cor.tei_corpo2_tto.cha 	 TRANS 	 CHI 	10	631	4;09.17	4	1	1	0	5	6	54	6	0	0	0	2	3	4	0	4	0	0	0	
../tcof/chi-trans-metaok/Alicia1_Bre_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	9	173	4;10.23	4	2	3	0	0	1	3	0	0	2	0	0	0	5	0	0	0	0	0	
../tcof/chi-trans-metaok/aline1_gan.tei_corpo2_tto.cha 	 TRANS 	 CHI 	4	779	4;08.11	4	0	1	0	13	3	92	0	0	3	2	0	1	5	0	12	2	1	0	
../tcof/chi-trans-metaok/aline1_ron.tei_corpo2_tto.cha 	 TRANS 	 CHI 	2	899	4;07.05	4	1	1	0	3	10	90	2	0	1	2	5	3	1	0	5	0	1	0	
../tcof/chi-trans-metaok/alissa1_cas.tei_corpo2_tto.cha 	 TRANS 	 CHI 	13	472	4;03.17	4	0	5	0	10	6	38	1	0	3	0	1	0	2	0	1	0	0	0	
../tcof/chi-trans-metaok/Alix1_Lec_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	43	795	2;10.23	2	0	11	0	2	1	42	0	0	0	0	0	1	13	0	1	0	0	0	
../tcof/chi-trans-metaok/alona1_leb.tei_corpo2_tto.cha 	 TRANS 	 CHI 	14	344	3;03.17	3	0	0	0	0	1	13	6	0	0	0	0	1	2	0	9	0	0	0	
../tcof/chi-trans-metaok/amelie1_bec.tei_corpo2_tto.cha 	 TRANS 	 CHI 	8	332	2;08.11	2	0	0	0	1	3	18	0	0	0	1	0	0	3	0	0	0	0	0	
../tcof/chi-trans-metaok/anais1_men.tei_corpo2_tto.cha 	 TRANS 	 CHI 	39	1284	5;04.24	5	0	1	0	35	4	126	7	0	8	0	5	2	3	0	12	5	1	0	
../tcof/chi-trans-metaok/andrea1_car.tei_corpo2_tto.cha 	 TRANS 	 CHI 	3	1296	5;02.12	5	3	2	0	4	14	176	4	0	6	0	8	8	18	0	20	2	0	0	
../tcof/chi-trans-metaok/andrea1_uri.tei_corpo2_tto.cha 	 TRANS 	 CHI 	4	874	3;01.06	3	3	5	0	3	10	31	5	0	0	0	4	5	4	0	17	0	2	0	
../tcof/chi-trans-metaok/anne1_roi.tei_corpo2_tto.cha 	 TRANS 	 CHI 	15	214	3;02.12	3	0	1	0	0	0	12	0	0	0	0	1	0	0	0	5	0	0	0	
../tcof/chi-trans-metaok/antoine1_nus.tei_corpo2_tto.cha 	 TRANS 	 CHI 	4	339	5;02.12	5	0	0	0	1	4	22	0	0	6	0	0	4	3	0	6	0	1	0	
